id,name,party,sector,county
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Rechtswesen,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Geschichtswissenschaften,Deutschland
lm,Ljudmyla Melnyk,NA,Politikwissenschaft,Ukraine
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Eglis Levits,NA,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermann,NA,Politik,Niederlande
am,Andrij Melnyk,NA,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Militär,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,NA,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland